iLoad, totalDisp, Reaction-1, Reaction-2, Reaction-3
267,  2.670000e-03,  3.618151e+02, -3.618151e+02,  9.626695e-10
268,  2.680000e-03,  3.631218e+02, -3.631218e+02,  9.747068e-10
269,  2.690000e-03,  3.644279e+02, -3.644279e+02,  9.870735e-10
270,  2.700000e-03,  3.657334e+02, -3.657334e+02,  9.994692e-10
271,  2.710000e-03,  3.670384e+02, -3.670384e+02,  1.011891e-09
272,  2.720000e-03,  3.683428e+02, -3.683428e+02,  1.024723e-09
273,  2.730000e-03,  3.696467e+02, -3.696467e+02,  1.037409e-09
274,  2.740000e-03,  3.709500e+02, -3.709500e+02,  1.050231e-09
275,  2.750000e-03,  3.722527e+02, -3.722527e+02,  1.063189e-09
276,  2.760000e-03,  3.735549e+02, -3.735549e+02,  1.076372e-09
277,  2.770000e-03,  3.748565e+02, -3.748565e+02,  1.089498e-09
278,  2.780000e-03,  3.761575e+02, -3.761575e+02,  1.102721e-09
279,  2.790000e-03,  3.774580e+02, -3.774580e+02,  1.116118e-09
280,  2.800000e-03,  3.787578e+02, -3.787578e+02,  1.129681e-09
281,  2.810000e-03,  3.800571e+02, -3.800571e+02,  1.143149e-09
282,  2.820000e-03,  3.813559e+02, -3.813559e+02,  1.156853e-09
283,  2.830000e-03,  3.826540e+02, -3.826540e+02,  1.170671e-09
284,  2.840000e-03,  3.839516e+02, -3.839516e+02,  1.184578e-09
285,  2.850000e-03,  3.852485e+02, -3.852485e+02,  1.198612e-09
286,  2.860000e-03,  3.865449e+02, -3.865449e+02,  1.212859e-09
287,  2.870000e-03,  3.878407e+02, -3.878407e+02,  1.226955e-09
288,  2.880000e-03,  3.891359e+02, -3.891359e+02,  1.241497e-09
289,  2.890000e-03,  3.904305e+02, -3.904305e+02,  1.255713e-09
290,  2.900000e-03,  3.917245e+02, -3.917245e+02,  1.270300e-09
291,  2.910000e-03,  3.930178e+02, -3.930178e+02,  1.284964e-09
292,  2.920000e-03,  3.943106e+02, -3.943106e+02,  1.299955e-09
293,  2.930000e-03,  3.956028e+02, -3.956028e+02,  1.314704e-09
294,  2.940000e-03,  3.968944e+02, -3.968944e+02,  1.329804e-09
295,  2.950000e-03,  3.981853e+02, -3.981853e+02,  1.344786e-09
296,  2.960000e-03,  3.994757e+02, -3.994757e+02,  1.360138e-09
297,  2.970000e-03,  4.007654e+02, -4.007654e+02,  1.375303e-09
298,  2.980000e-03,  4.020545e+02, -4.020545e+02,  1.390821e-09
299,  2.990000e-03,  4.033430e+02, -4.033430e+02,  1.406384e-09
300,  3.000000e-03,  4.046309e+02, -4.046309e+02,  1.422107e-09
301,  3.010000e-03,  4.059182e+02, -4.059182e+02,  1.437799e-09
302,  3.020000e-03,  4.072048e+02, -4.072048e+02,  1.453663e-09
303,  3.030000e-03,  4.084908e+02, -4.084908e+02,  1.469818e-09
304,  3.040000e-03,  4.097761e+02, -4.097761e+02,  1.485884e-09
305,  3.050000e-03,  4.110609e+02, -4.110609e+02,  1.502050e-09
306,  3.060000e-03,  4.123449e+02, -4.123449e+02,  1.518586e-09
307,  3.070000e-03,  4.136284e+02, -4.136284e+02,  1.534887e-09
308,  3.080000e-03,  4.149112e+02, -4.149112e+02,  1.551608e-09
309,  3.090000e-03,  4.161934e+02, -4.161934e+02,  1.568162e-09
310,  3.100000e-03,  4.174749e+02, -4.174749e+02,  1.585034e-09
311,  3.110000e-03,  4.187558e+02, -4.187558e+02,  1.602069e-09
312,  3.120000e-03,  4.200360e+02, -4.200360e+02,  1.619075e-09
313,  3.130000e-03,  4.213155e+02, -4.213155e+02,  1.636443e-09
314,  3.140000e-03,  4.225944e+02, -4.225944e+02,  1.653638e-09
315,  3.150000e-03,  4.238727e+02, -4.238727e+02,  1.670921e-09
316,  3.160000e-03,  4.251503e+02, -4.251503e+02,  1.688459e-09
317,  3.170000e-03,  4.264272e+02, -4.264272e+02,  1.706119e-09
318,  3.180000e-03,  4.277035e+02, -4.277035e+02,  1.723866e-09
319,  3.190000e-03,  4.289791e+02, -4.289791e+02,  1.741838e-09
320,  3.200000e-03,  4.302540e+02, -4.302540e+02,  1.759835e-09
321,  3.210000e-03,  4.315282e+02, -4.315282e+02,  1.777787e-09
322,  3.220000e-03,  4.328018e+02, -4.328018e+02,  1.796174e-09
323,  3.230000e-03,  4.340747e+02, -4.340747e+02,  1.814439e-09
324,  3.240000e-03,  4.353469e+02, -4.353469e+02,  1.833009e-09
325,  3.250000e-03,  4.366184e+02, -4.366184e+02,  1.851566e-09
326,  3.260000e-03,  4.378893e+02, -4.378893e+02,  1.870482e-09
327,  3.270000e-03,  4.391594e+02, -4.391594e+02,  1.888917e-09
328,  3.280000e-03,  4.404289e+02, -4.404289e+02,  1.908079e-09
329,  3.290000e-03,  4.416977e+02, -4.416977e+02,  1.927402e-09
330,  3.300000e-03,  4.429657e+02, -4.429657e+02,  1.946379e-09
331,  3.310000e-03,  4.442331e+02, -4.442331e+02,  1.965514e-09
332,  3.320000e-03,  4.454998e+02, -4.454998e+02,  1.985233e-09
333,  3.330000e-03,  4.467657e+02, -4.467657e+02,  2.004624e-09
334,  3.340000e-03,  4.480310e+02, -4.480310e+02,  2.024509e-09
335,  3.350000e-03,  4.492956e+02, -4.492956e+02,  2.044385e-09
336,  3.360000e-03,  4.505594e+02, -4.505594e+02,  2.064316e-09
337,  3.370000e-03,  4.518225e+02, -4.518225e+02,  2.084354e-09
338,  3.380000e-03,  4.530850e+02, -4.530850e+02,  2.104517e-09
339,  3.390000e-03,  4.543466e+02, -4.543466e+02,  2.124889e-09
340,  3.400000e-03,  4.556076e+02, -4.556076e+02,  2.145581e-09
341,  3.410000e-03,  4.568679e+02, -4.568679e+02,  2.165735e-09
342,  3.420000e-03,  4.581274e+02, -4.581274e+02,  2.186539e-09
343,  3.430000e-03,  4.593862e+02, -4.593862e+02,  2.207541e-09
344,  3.440000e-03,  4.606442e+02, -4.606442e+02,  2.228553e-09
345,  3.450000e-03,  4.619015e+02, -4.619015e+02,  2.249413e-09
346,  3.460000e-03,  4.631581e+02, -4.631581e+02,  2.270502e-09
347,  3.470000e-03,  4.644140e+02, -4.644140e+02,  2.292071e-09
348,  3.480000e-03,  4.656691e+02, -4.656691e+02,  2.313575e-09
349,  3.490000e-03,  4.669234e+02, -4.669234e+02,  2.335023e-09
350,  3.500000e-03,  4.681770e+02, -4.681770e+02,  2.356971e-09
351,  3.510000e-03,  4.694299e+02, -4.694299e+02,  2.378672e-09
352,  3.520000e-03,  4.706820e+02, -4.706820e+02,  2.400380e-09
353,  3.530000e-03,  4.719333e+02, -4.719333e+02,  2.422792e-09
354,  3.540000e-03,  4.731839e+02, -4.731839e+02,  2.445139e-09
355,  3.550000e-03,  4.744337e+02, -4.744337e+02,  2.467320e-09
356,  3.560000e-03,  4.756828e+02, -4.756828e+02,  2.489795e-09
357,  3.570000e-03,  4.769311e+02, -4.769311e+02,  2.512445e-09
358,  3.580000e-03,  4.781786e+02, -4.781786e+02,  2.535258e-09
359,  3.590000e-03,  4.794253e+02, -4.794253e+02,  2.558075e-09
360,  3.600000e-03,  4.806713e+02, -4.806713e+02,  2.581019e-09
361,  3.610000e-03,  4.819165e+02, -4.819165e+02,  2.604412e-09
362,  3.620000e-03,  4.831609e+02, -4.831609e+02,  2.627647e-09
363,  3.630000e-03,  4.844045e+02, -4.844045e+02,  2.650886e-09
364,  3.640000e-03,  4.856473e+02, -4.856473e+02,  2.674582e-09
365,  3.650000e-03,  4.868893e+02, -4.868893e+02,  2.698169e-09
